2023-02-02;06:00:00;1;False
2023-02-03;06:14:02;28557;True
2023-02-06;06:03:30;28913;True
2023-02-07;06:06:16;29271;True;1525
2023-02-08;06:07:22;28143;True;2567
2023-02-09;06:03:00;28952;True;3743
2023-02-10;06:07:16;28049;True;3438
2023-02-13;06:05:21;28401;True;40
2023-02-14;06:21:28;26277;True;0
2023-02-15;06:17:38;27582;True;1300
2023-02-16;06:00:37;28832;True;788
2023-02-17;06:45:36;28804;True;1700
2023-02-20;06:03:30;28995;True;5128
2023-02-21;06:07:10;29321;True;2182
2023-02-22;05:53:25;36095;True;9940
2023-02-23;05:49:25;29219;True;3379
2023-02-24;06:08:00;28803;True;0
2023-02-25;12:19:53;211;False;211
2023-02-26;08:36:22;29328;True;1642
2023-02-28;06:02:49;29157;True;2136
2023-03-01;06:02:59;29216;True;625
2023-03-02;06:02:10;28803;True;1618
2023-03-03;06:00:04;15124;False;204
